Strike,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade"
53.000C,12.295,12.295,12.295,-0.98,0,0,,,7377,12/02/22
53.000P,0.295,0.09,0.09,-0.115,0,0,1,159,54,12/02/22
53.500C,11.805,11.805,11.805,-0.99,0,0,,,7083,12/02/22
53.500P,0.105,0.105,0.105,-0.125,0,0,,47,63,12/02/22
54.000C,11.32,11.32,11.32,-1.005,0,0,,,6792,12/02/22
54.000P,0.175,0.12,0.12,-0.135,0,0,5,65,72,12/02/22
54.500C,10.84,10.84,10.84,-1.015,0,0,,,6504,12/02/22
54.500P,0.36,0.135,0.135,-0.15,0,0,17,91,81,12/02/22
55.000C,10.36,10.36,10.36,-1.025,0,0,,,6216,12/02/22
55.000P,0.49,0.155,0.155,-0.16,0,0,329,1803,93,12/02/22
55.500C,9.88,9.88,9.88,-1.045,0,0,,16,5928,12/02/22
55.500P,0.18,0.18,0.18,-0.17,0,0,,110,108,12/02/22
56.000C,9.41,9.41,9.41,-1.055,0,0,,40,5646,12/02/22
56.000P,0.53,0.205,0.205,-0.185,0,0,231,434,123,12/02/22
56.500C,8.94,8.94,8.94,-1.07,0,0,,,5364,12/02/22
56.500P,0.35,0.235,0.235,-0.2,0,0,48,4,141,12/02/22
57.000C,8.475,8.475,8.475,-1.085,0,0,,,5085,12/02/22
57.000P,0.685,0.27,0.27,-0.215,0,0,82,129,162,12/02/22
57.500C,8.015,8.015,8.015,-1.095,0,0,,8,4809,12/02/22
57.500P,0.7,0.31,0.31,-0.23,0,0,186,233,186,12/02/22
58.000C,7.56,7.56,7.56,-1.11,0,0,,36,4536,12/02/22
58.000P,0.9,0.355,0.355,-0.24,0,0,103,646,213,12/02/22
58.500C,7.115,7.115,7.115,-1.12,0,0,,5,4269,12/02/22
58.500P,0.645,0.405,0.405,-0.255,0,0,45,262,243,12/02/22
59.000C,6.675,6.675,6.675,-1.13,0,0,,4,4005,12/02/22
59.000P,0.92,0.445,0.465,-0.265,0,0,164,136,279,12/02/22
59.500C,6.245,6.245,6.245,-1.14,0,0,,40,3747,12/02/22
59.500P,0.82,0.52,0.535,-0.27,0,0,49,84,321,12/02/22
60.000C,5.82,5.82,5.82,-1.145,0,0,,148,3492,12/02/22
60.000P,1.4,0.59,0.61,-0.28,0,0,1818,2487,366,12/02/22
60.500C,5.41,5.41,5.41,-1.145,0,0,,2,3246,12/02/22
60.500P,0.895,0.685,0.7,-0.28,0,0,175,306,420,12/02/22
61.000C,5.01,5.01,5.01,-1.145,0,0,11,168,3006,12/02/22
61.000P,1.17,0.78,0.795,-0.28,0,0,1544,431,477,12/02/22
61.500C,4.62,4.62,4.62,-1.14,0,0,,100,2772,12/02/22
61.500P,1.215,0.905,0.905,-0.275,0,0,17,276,543,12/02/22
62.000C,5.295,4.245,4.245,-1.13,0,0,5,16,2547,12/02/22
62.000P,1.88,1.03,1.03,-0.265,0,0,364,1381,618,12/02/22
62.500C,3.885,3.885,3.885,-1.115,0,0,,54,2331,12/02/22
62.500P,1.895,1.17,1.17,-0.245,0,0,517,1878,702,12/02/22
63.000C,4.565,3.535,3.535,-1.095,0,0,4,30,2121,12/02/22
63.000P,2.185,1.32,1.32,-0.225,0,0,2222,3092,792,12/02/22
63.500C,3.205,3.205,3.205,-1.07,0,0,,35,1923,12/02/22
63.500P,1.49,1.49,1.49,-0.2,0,0,4,251,894,12/02/22
64.000C,3.8,2.89,2.89,-1.04,0,0,40,116,1734,12/02/22
64.000P,1.75,1.67,1.67,-0.175,0,0,371,2604,1002,12/02/22
64.500C,2.59,2.59,2.59,-1.005,0,0,,27,1554,12/02/22
64.500P,2.51,1.87,1.87,-0.14,0,0,23,147,1122,12/02/22
