Strike,High,Low,Last,Change,Bid,Ask,Volume,"Open Int",Premium,"Last Trade"
51.500C,13.365,13.365,13.365,0.015000000000001,12.35,12.555,,,8019,12/21/22
51.500P,0.065,0.065,0.065,-0.005,0.06,0.075,,,39,12/21/22
52.000C,12.87,12.87,12.87,0.0099999999999998,11.865,12.06,,,7722,12/21/22
52.000P,0.07,0.07,0.07,-0.01,0.07,0.085,,24,42,12/21/22
52.500C,12.385,12.385,12.385,0.015000000000001,11.37,11.565,,,7431,12/21/22
52.500P,0.085,0.08,0.085,-0.01,0.085,0.1,1,25,51,12/21/22
53.000C,11.895,11.895,11.895,0.0099999999999998,10.885,11.09,,,7137,12/21/22
53.000P,0.095,0.095,0.095,-0.01,0.095,0.11,,13,57,12/21/22
53.500C,11.41,11.41,11.41,0.0099999999999998,10.4,10.595,,,6846,12/21/22
53.500P,0.11,0.11,0.11,-0.015,0.115,0.13,,8,66,12/21/22
54.000C,10.93,10.93,10.93,0.0099999999999998,9.915,10.14,,,6558,12/21/22
54.000P,0.13,0.13,0.13,-0.01,0.13,0.145,,233,78,12/21/22
54.500C,10.45,10.45,10.45,0.0099999999999998,9.445,9.66,,,6270,12/21/22
54.500P,0.15,0.15,0.15,-0.01,0.155,0.17,,51,90,12/21/22
55.000C,9.97,9.97,9.97,0.0050000000000008,8.975,9.19,,,5982,12/21/22
55.000P,0.18,0.18,0.18,0.01,0.18,0.195,5,448,108,"09:21 CT"
55.500C,9.5,9.5,9.5,0.0050000000000008,8.5,8.72,,,5700,12/21/22
55.500P,0.195,0.195,0.195,-0.02,0.21,0.225,,423,117,12/21/22
56.000C,9.03,9.03,9.03,0,8.035,8.25,,,5418,12/21/22
56.000P,0.225,0.225,0.225,-0.02,0.24,0.26,,48,135,12/21/22
56.500C,8.565,8.565,8.565,0,7.595,7.77,,,5139,12/21/22
56.500P,0.26,0.26,0.26,-0.025,0.28,0.3,,25,156,12/21/22
57.000C,8.105,8.105,8.105,-0.004999999999999,7.135,7.32,,,4863,12/21/22
57.000P,0.29,0.29,0.29,-0.01,0.325,0.345,15,309,174,"06:10 CT"
57.500C,7.655,7.655,7.655,-0.0049999999999999,6.695,6.855,,,4593,12/21/22
